Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Complete predictive habitat model and map of whitebark pine distribution for WLNP. Where stand assessments are completed, they include aspects of stand health (i.e., rust presence/absence and stand density).",,1,,0,"Mapping by 2018, stand assessments by 2021.",0,1,0,"Threat of invasive non-native / alien species (white pine blister rust), problematic native species (mountain pine beetle), fire and fire suppression.",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Continue communication activities aimed at increasing awareness of, and reducing human-caused impacts on, whitebark pine as outlined in the whitebark pine conservation and restoration (CoRe) project.",1,,,0,Human intrusions and disturbance; recreational activities; commercial development – tourism and recreation areas.,0,1,0,,0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Continue to implement WLNP invasive plant inventory and control program to maintain habitat, targeting SAR habitats as much as possible. Prepare an invasive plant management plan at BURNHS which may also positively impact SAR.",1,,,,2017-2021 in WLNP. BURNHS plan prepared by 2018.,0,1,0,Threat of alien invasive species.,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Determine distribution of pure westslope cutthroat trout vs. hybrids in WLNP and BURNHS waterbodies.,,1,,,2017-2019,0,1,0,"Threat of past introductions of competitive, non-native trout species, hybridization.",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Develop and implement pesticide best management practices for WLNP and BURNHS with the recovery needs of aerial insectivore and invertebrate species at risk in mind.,,,1,,Plan developed by 2017. Implementation 2018-2021.,0,1,0,"Threat of reduced availability of insect prey, pesticide use.",1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Explore the interests of various Indigenous communities in SAR education and recovery. Collaborate with interested communities on outreach, education and visitor experience actions in mutually agreed upon ways.",,,1,,2017-2021,0,1,0,"Specific to the species knowledge gaps or outreach, education and visitor experience measures.",1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Identify breeding and nesting sites opportunistically, targeting high probability sites, and encourage the public to share observations.",,1,,0,,0,1,0,Threat of habitat disturbance and destruction.,0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Identify putatively rust resistant individuals (Plus Trees) at high priority sites, conduct Plus Tree seed resistance testing for high probability trees, collect seed for genetic conservation and protect high value Plus Trees from mountain pine beetles.",,,1,,2017-2021,0,1,0,"Threat of invasive non-native / alien species (white pine blister rust), problematic native species (mountain pine beetle).",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Implement measures (e.g. best management practices, seasonal closures if required) to protect known nest sites and known nesting habitat from destruction or disturbance.",1,,,,2017-2021,0,1,0,Threat of habitat disturbance and destruction.,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Implement prescribed burn plans to return regular burning intervals and maintain open forests and grasslands. Take into consideration species-specific needs/sensitivities.,1,,,,2017-2021,0,1,0,Threat of fire suppression.,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Incorporate within the service delivery agreement law enforcement patrols to prevent disturbance, destruction or removal of species at risk and their habitats.",1,,,0,Improve species at risk protection and awareness.,0,1,0,,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Increase general awareness about species at risk that are found in the park/site, through interpretive programming, targeted communications, stakeholder engagement and outreach.",1,,,,2017-2021,0,1,0,"Specific to species knowledge gaps or outreach, education and visitor experience measures.",1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Integrate use of a mobile species occurrence reporting application for WLNP and BURNHS staff, volunteers and visitors to electronically submit species at risk observations which inform management activities.",,1,,0,Support species at risk data collection efforts for recovery and management planning and monitoring.,0,1,0,,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Limit spread of white-nose syndrome by adopting and sharing protocols (such as the Canadian National White-nose Syndrome (WNS) Decontamination Protocol).,1,,,,2017-2021,0,1,0,"Threat of disturbance or harm, exotic, invasive species (WNS).",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Manage visitor activity within and near Bolander's quillwort critical habitat at Summit Lake.,1,,,,2017-2021,0,1,0,"? Prohibit wading by people and domestic animals and access by machinery or vehicles within occupied areas.
 ? Restructure trail activity and monitor trail condition within and near critical habitat at Summit Lake and monitor effectiveness.",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Plant putatively rust resistant seedlings, and, when available, confirmed rust resistant seedlings, in priority restoration sites. Innoculate seedlings with mycorrhizal fungi to improve establishment.",1,,,,2017-2021,0,1,0,"Threat of non-native / alien species (white pine blister rust), fire and fire suppression.",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Protect and, where feasible, increase the number and extent of existing stands and of putatively rust resistant individuals through habitat management and restoration.",1,,,,2017-2021,0,1,0,"Threat of fire and fire suppression, problematic native species (mountain pine beetle).",0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Provide timely and effective species-specific communications to target audiences to disseminate knowledge, enhance understanding, and ensure",1,,,,2017-2021,0,1,0,Human disturbance; habitat loss or degradation; accidental mortality.,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,"Pursue co-operative partnerships with other government agencies, industry and public stewardship groups to conduct westslope cutthroat trout management and restoration efforts within the Belly River, Waterton River and Pekisko Creek watersheds.",1,,,0,"Inter-agency cooperation, facilitation of information exchange.",0,1,0,,0
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Strengthen species at risk recovery by working with Indigenous communities to incorporate Traditional Knowledge into species at risk understanding.,,,1,,By 2019,0,1,0,Engage First Nations in species at risk recovery and management.,1
Limber Pine,Pinus flexilis,,Vascular Plants,"British Columbia, Alberta",Endangered,No,Special Concern,Y,2017,Y,0,18,Survey appropriate habitats to determine the extent to which WLNP is used by Lewis's woodpecker.,,1,,0,2017-2021,0,1,0,Conduct research and monitoring to improve knowledge of breeding habitat use and demographic trends.,0
Lindley's False Silverpuffs,Uropappus lindleyi,,Vascular Plants,British Columbia,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Little Barley,Hordeum pusillum,,Vascular Plants,Alberta,Data Deficient,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7," Explore the interests of various Indigenous communities in SAR education and recovery. Collaborate with interested communities on outreach, education and visitor experience actions in mutually agreed upon ways.",,,1,0,As opportunities arise.,0,1,0,This will be specific to the species and type of action.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"1. Adopt best practices for the maintenance or decommissioning of park infrastructure that contains Little Brown Myotis roosts.
 2. Work with partners and the community to protect important bat sites in buildings.",1,,,0,Ongoing.,0,1,0,Disturbance or harm; destruction of hibernacula or maternity roosts.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Acquire data on species distribution and habitat use to fill knowledge gaps in order to increase efficacy of conservation and recovery actions. Data will be acquired through research and monitoring, and by promoting the reporting of observations by park staff, stakeholders, and visitors.",,1,,0,"On-going.
 SOPR – 2019
 PMP - 2020",0,1,0,All.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Determine the distribution and relative abundance of Little Brown Myotis, with emphasis on identifying hibernacula and maternity roosting sites.",,1,,0,Ongoing,0,1,0,"Habitat loss.
 Exotic invasive species (WNS).",1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Enhance current communications aimed at raising awareness, and develop targeted communications in support of actions to prevent disturbance, disease transmission, and potential human-caused mortality.",1,,,0,First 5 years.,0,1,0,Habitat loss or degradation; Disturbance or harm (recreational or scientific); Invasive species (WNS).,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Identify breeding and nesting sites opportunistically, targeting high probability sites, and encourage the public to share observations.",,1,0,0,Ongoing,0,1,0,Direct disturbance or harm; habitat destruction.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Implement measures (e.g. best management practices, seasonal closures if required) to protect known nest sites and known nesting habitat from destruction or disturbance.",1,,,0,Ongoing.,0,1,0,Habitat disturbance and destruction.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Increase general awareness about species at risk that are found in the park, through interpretive programming, targeted communications, and outreach.",1,,,0,Ongoing.,0,1,0,"Promotes general awareness of species at risk, recovery efforts, and steps that can be taken to contribute to recovery.",1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Limit spread of white-nose syndrome by sharing protocols (such as the Canadian National White-Nose Syndrome Decontamination Protocol) for cave researchers, and maintaining access restrictions, to protect bats and their residences.",1,,,0,Ongoing.,0,1,0,"Disturbance or harm.
 Exotic invasive species (WNS).",1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Maintain or increase law enforcement patrols to prevent disturbance, destruction or removal of species at risk and their habitats.",1,,,0,Ongoing.,0,1,0,Disturbance or harm; habitat loss.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,Monitor and manage predator-prey populations and distribution.,,,1,0,Ongoing,0,1,0,Altered predator-prey dynamics.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Provide timely and effective species-specific communications to target audiences to disseminate knowledge, enhance understanding, and ensure compliance with SARA requirements.",1,,,0,First 5 years.,0,1,0,Human disturbance; habitat loss or degradation; accidental mortality.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,Strengthen species at risk recovery by working with Indigenous communities to incorporate traditional knowledge into SAR understanding.,,,1,0,As opportunities arise.,0,1,0,This will be specific to the particular knowledge gap.,1
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2017,Y,0,7,"Work with adjacent land management agencies, conservation scientists, and others to improve understanding and knowledge of populations of species at risk, and to increase the level of recovery of species occurring across park boundaries within multiple jurisdictions throughout the species’ range.",,,1,0,Ongoing,0,1,0,All.,1
Little Quarry Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fishes (freshwater),British Columbia,Threatened,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Little Quarry Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fishes (freshwater),British Columbia,Threatened,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Loggerhead Sea Turtle,Caretta caretta,,Reptiles,Atlantic Ocean,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Loggerhead Shrike,Lanius ludovicianus,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Non-active,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Loggerhead Shrike Eastern subspecies,Lanius ludovicianus  ssp.,,Birds,"Ontario, Quebec",Endangered,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Loggerhead Shrike migrans subspecies,Lanius ludovicianus  migrans,,Birds,"Manitoba, Ontario, Quebec",Non-active,Schedule 1,Special Concern,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Loggerhead Shrike migrans subspecies,Lanius ludovicianus  migrans,,Birds,"Manitoba, Ontario, Quebec",Non-active,Schedule 1,Special Concern,Y,2016,Y,0,66,"Manage Rare Bird Sightings: Mitigate visitor disturbance to migrating individuals or nesting SAR birds at PPNP; communication, area closures, and patrols to promote compliance.",1,0,0,0,Ongoing,0,1,0,Protect individuals from harassment,1
Loggerhead Shrike migrans subspecies,Lanius ludovicianus  migrans,,Birds,"Manitoba, Ontario, Quebec",Non-active,Schedule 1,Special Concern,Y,2016,Y,0,66,"Restore Savannah Habitat in PPNP: Continue savannah restoration project in PPNP; clear invading shrubs, remove invasive exotic species and keep habitat open through prescribed fire, investigate DDT remediation, savannah education and outreach programs.",1,0,0,0,2021,0,1,0,"Threat of habitat loss, invasive species and contamination",1
Loggerhead Shrike Prairie subspecies,Lanius ludovicianus  excubitorides,,Birds,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,22,Invasive Species Management: prevent expansion or reduce the current distribution of invasive species that impair the quality of species at risk habitat.,1,0,0,0,Ongoing,0,1,0,Invasive Species,1
Long-billed Curlew,Numenius americanus,,Birds,"British Columbia, Alberta, Saskatchewan",Special Concern,Schedule 1,Special Concern,Y,2016,Y,0,22,Invasive Species Management: prevent expansion or reduce the current distribution of invasive species that impair the quality of species at risk habitat.,1,0,0,0,Ongoing,0,1,0,Invasive Species,1
Longfin Smelt,Spirinchus thaleichthys,Pygmy populations,Fishes (freshwater),British Columbia,Data Deficient,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Long-finned Pilot Whale,Globicephala melas,,Mammals (marine),Atlantic Ocean,Not at Risk,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Longjaw Cisco,Coregonus alpenae,,Fishes (freshwater),Ontario,Non-active,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Longnose Skate,Raja rhina,,Fishes (marine),Pacific Ocean,Not at Risk,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Agencies/institutions carrying out recovery activities planned in (or adjacent to) critical habitat to communicate with, and extend invitation to federal and provincial wildlife and enforcement officials.",1,,,Medium,As required,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Appropriately mark (e.g., with signs, curbs) high-use areas of habitat to discourage off-road vehicle and pedestrian traffic.",1,,,High,As required,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Assess the role of seed bank in long-term persistence by determining the longevity of seeds in the soil seed bank.,,1,,Medium,By 2021,0,1,0,All threats,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Based on field observation of the occurrence of activities that threaten braya, identify areas with stewardship needs and initiate stewardship activities where required.",,,1,High,Ongoing,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Conduct surveys to determine changes in public attitude and knowledge and evaluate effectiveness of existing stewardship and education measures (e.g., develop and implement a method to assess the effectiveness of the limestone barrens curriculum in the classroom).",,1,,Medium,As required,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Continue to pursue, update, and evaluate stewardship agreements between the Limestone Barrens Habitat Stewardship Program (LBHSP) and local communities, schools, and organizations (e.g., towns in the northern distribution of Fernald’s Braya).",1,,,High,As required,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Determine and if possible, implement appropriate methods to mitigate the threat of insect pests and pathogens throughout distribution.",,,1,High,Ongoing,0,1,0,"Habitat Loss and Degradation
 Exotic Species
 Natural Processes",1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Develop and deliver “safe-use” educational materials that describe how work can be carried out in a way that minimizes disturbance to habitat (including maps that display the spatial outline of critical habitat) to service providers/operators likely to operate on the limestone barrens.,,,1,High,Ongoing,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Develop and implement an off-road vehicle mitigation plan to prevent loss of, and damage to critical habitat.",,,1,Medium,Ongoing thru to 2021,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Encourage intergovernmental communication between federal, provincial, and municipal agencies that have land-use management, or permitting responsibilities for populations of braya and associated critical habitat.",1,,,Medium,Ongoing,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Engage and support the Limestone Barrens Community Working Group by encouraging members to attend regular meetings of the Limestone Barrens Species-at-Risk Recovery Team.,1,,,Medium,Annually,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Ensure local participation in the delivery of recovery activities, such as the establishment of new protected areas or restoration projects.",1,,,Medium,Ongoing,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Erect interpretive panels that display information on species biology, population status, and critical habitat conservation at key braya sites (i.e., where signs would have the most impact on braya conservation without compromising persistence).",1,,,Medium,By 2019,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Evaluate the current level of threat posed by land use activities on critical habitat at each known braya location and on all areas where past management activities have been implemented. Assess the effectiveness of current management activities.,,1,,High,Every 5 years,0,1,0,All threats,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Evaluate the recovery value of the Long’s Braya population resident on the human-disturbed portion of Yankee Point.,,1,,High,Ongoing,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Evaluate the restoration success of human-disturbed Long’s Braya sites in the Sandy Cove area by monitoring vegetation, substrate condition, and hydrologic patterns annually for five years after completion of restoration project.",,1,,High,Annually for five years after completion of project,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Every 5 years, complete a census to identify population trends and spatial changes.",,1,,High,Every 5 years,0,1,0,All threats,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Finalize surveys of suitable and potential habitats within the historic range of Fernald’s Braya to verify occupancy and population numbers.,,1,,High,By 2019,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Identify and consult with interest groups associated with critical habitat use (e.g., all-terrain vehicle users, snowmobile users). Provide groups with information on critical habitat conservation.",1,,,High,By 2021,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Identify the unknown microbial pathogens that affect braya.,,1,,High,Ongoing,0,1,0,Natural Processes,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Maintain ex-situcollection of Long’s Braya and Fernald’s Braya at Memorial University of Newfoundland Botanical Garden and monitor plants for survival and the presence of pathogens and insect pests.,,,1,High,Annually,0,1,0,All threats,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Monitor and assess possible threat of climate change using the established climatic monitoring network (e.g., weather stations, air and ground temperature loggers, mechanical heave measuring instruments) to determine if climate changes are causing subsequent changes in plant population size, demographic parameters (e.g., productivity), pest infestation, and pathogen infection.",,1,,Medium,Download logger data – annually; Collect other information – as required,0,1,0,All threats except Habitat loss and degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Monitor population size, demographic parameters (e.g., longevity, productivity), survival, vegetation cover, and possible threats of pests and pathogens within permanent monitoring plots at all established study sites.",,1,,High,Every 5 years,0,1,0,All threats,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Monitor the survival of Long’s Braya and Fernald’s Braya reintroductions biennially, for at least six years, following reintroduction.",,1,,High,Biennially for 6 years after completion of project,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Provide information on limestone barrens species at risk and critical habitat conservation to technical and non-technical audiences through use of effective media and social outlets.,1,,,Medium,Ongoing,0,1,0,"All threats, except natural processes",1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Pursue the establishment of an ecological reserve adjacent to the federal property at Cape Norman.,1,,,High,By 2017,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Pursue the expansion of the Watts Point Ecological Reserve northward to include the undisturbed population of Fernald’s Braya in the Four Mile Cove area.,1,,,High,By 2017,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Regularly update the limestone barrens website (www.limestonebarrens.ca) to ensure information is current.,1,,,Medium,As required,0,1,0,"All threats, except natural processes",1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Restore the human-disturbed Long’s Braya site adjacent to Sandy Cove Ecological Reserve using restoration techniques outlined in Copp (2014).,1,,,High,By 2019,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Restore the human-disturbed Long’s Braya site at the Sandy Cove Lion’s Club by prohibiting wood piling and vehicle travel to wood piles and by removing wood chips, sawdust, and garbage.",1,,,High,By 2017,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,Train and provide opportunity to update wildlife and enforcement officials on current and new regulations and issues related to species at risk and critical habitat.,1,,,Medium,As required,0,1,0,Habitat Loss and Degradation,1
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Special Concern,Y,2018,Y,1000000,2,"Using genetically appropriate source populations, reintroduce Long’s Braya and Fernald’s Braya by seed, where required, to restore species distribution within its historic range.",1,,,High,Ongoing,0,1,0,Habitat Loss and Degradation,1
